State,Month and Year,Unemp Size
New Jersey,6/1/2019 0:00,147120
New Mexico,6/1/2019 0:00,52893
New York,6/1/2019 0:00,363430
North Carolina,6/1/2019 0:00,213152
North Dakota,6/1/2019 0:00,10907
Ohio,6/1/2019 0:00,253781
Oklahoma,6/1/2019 0:00,65316
Oregon,6/1/2019 0:00,83768
Pennsylvania,6/1/2019 0:00,287947
Rhode Island,6/1/2019 0:00,18645
South Carolina,6/1/2019 0:00,75412
South Dakota,6/1/2019 0:00,15018
Tennessee,6/1/2019 0:00,131488
Texas,6/1/2019 0:00,520024
Utah,6/1/2019 0:00,48104
Vermont,6/1/2019 0:00,8577
Virginia,6/1/2019 0:00,129920
Washington,6/1/2019 0:00,164802
West Virginia,6/1/2019 0:00,39694
Wisconsin,6/1/2019 0:00,117562
Wyoming,6/1/2019 0:00,10840
Alabama,7/1/2019 0:00,69916
Alaska,7/1/2019 0:00,20150
Arizona,7/1/2019 0:00,180844
Arkansas,7/1/2019 0:00,56737
California,7/1/2019 0:00,857771
Colorado,7/1/2019 0:00,85711
Connecticut,7/1/2019 0:00,75777
Delaware,7/1/2019 0:00,20243
D.C.,7/1/2019 0:00,24138
Florida,7/1/2019 0:00,350600
Georgia,7/1/2019 0:00,196151
Hawaii,7/1/2019 0:00,18429
Idaho,7/1/2019 0:00,24218
Illinois,7/1/2019 0:00,276947
Indiana,7/1/2019 0:00,119491
Iowa,7/1/2019 0:00,48724
Kansas,7/1/2019 0:00,56697
Kentucky,7/1/2019 0:00,101089
Louisiana,7/1/2019 0:00,115749
Maine,7/1/2019 0:00,18891
Maryland,7/1/2019 0:00,128327
Massachusetts,7/1/2019 0:00,121141
Michigan,7/1/2019 0:00,252608
Minnesota,7/1/2019 0:00,99631
Mississippi,7/1/2019 0:00,81327
Missouri,7/1/2019 0:00,117030
Montana,7/1/2019 0:00,16834
Nebraska,7/1/2019 0:00,35001
Nevada,7/1/2019 0:00,63204
New Hampshire,7/1/2019 0:00,19857
New Jersey,7/1/2019 0:00,176079
New Mexico,7/1/2019 0:00,52663
New York,7/1/2019 0:00,400342
North Carolina,7/1/2019 0:00,219539
North Dakota,7/1/2019 0:00,9189
Ohio,7/1/2019 0:00,266365
Oklahoma,7/1/2019 0:00,62846
Oregon,7/1/2019 0:00,85756
Pennsylvania,7/1/2019 0:00,321521
Rhode Island,7/1/2019 0:00,21801
South Carolina,7/1/2019 0:00,72245
South Dakota,7/1/2019 0:00,14359
Tennessee,7/1/2019 0:00,132139
Texas,7/1/2019 0:00,540487
Utah,7/1/2019 0:00,43635
Vermont,7/1/2019 0:00,8209
Virginia,7/1/2019 0:00,131979
Washington,7/1/2019 0:00,164164
West Virginia,7/1/2019 0:00,38061
Wisconsin,7/1/2019 0:00,113279
Wyoming,7/1/2019 0:00,10633
Alabama,8/1/2019 0:00,66431
Alaska,8/1/2019 0:00,18805
Arizona,8/1/2019 0:00,178406
Arkansas,8/1/2019 0:00,49499
California,8/1/2019 0:00,808406
Colorado,8/1/2019 0:00,83635
Connecticut,8/1/2019 0:00,73111
Delaware,8/1/2019 0:00,20234
D.C.,8/1/2019 0:00,22418
Florida,8/1/2019 0:00,341558
Georgia,8/1/2019 0:00,186680
Hawaii,8/1/2019 0:00,17821
Idaho,8/1/2019 0:00,22457
Illinois,8/1/2019 0:00,257769
Indiana,8/1/2019 0:00,113806
Iowa,8/1/2019 0:00,48287
Kansas,8/1/2019 0:00,50095
Kentucky,8/1/2019 0:00,86918
Louisiana,8/1/2019 0:00,112426
Maine,8/1/2019 0:00,16281
Maryland,8/1/2019 0:00,122557
Massachusetts,8/1/2019 0:00,108391
Michigan,8/1/2019 0:00,209484
Minnesota,8/1/2019 0:00,94260
Mississippi,8/1/2019 0:00,71648
Missouri,8/1/2019 0:00,108761
Montana,8/1/2019 0:00,16824
Nebraska,8/1/2019 0:00,31306
Nevada,8/1/2019 0:00,59708
New Hampshire,8/1/2019 0:00,19639
New Jersey,8/1/2019 0:00,166692
New Mexico,8/1/2019 0:00,47067
New York,8/1/2019 0:00,393551
North Carolina,8/1/2019 0:00,210207
North Dakota,8/1/2019 0:00,9123
Ohio,8/1/2019 0:00,246429
Oklahoma,8/1/2019 0:00,60607
Oregon,8/1/2019 0:00,82140
Pennsylvania,8/1/2019 0:00,314579
Rhode Island,8/1/2019 0:00,20937
South Carolina,8/1/2019 0:00,67954
South Dakota,8/1/2019 0:00,15340
Tennessee,8/1/2019 0:00,113486
Texas,8/1/2019 0:00,523448
Utah,8/1/2019 0:00,42719
Vermont,8/1/2019 0:00,7910
Virginia,8/1/2019 0:00,130261
Washington,8/1/2019 0:00,160846
West Virginia,8/1/2019 0:00,38253
Wisconsin,8/1/2019 0:00,106141
Wyoming,8/1/2019 0:00,9825
Alabama,9/1/2019 0:00,57536
Alaska,9/1/2019 0:00,19306
Arizona,9/1/2019 0:00,165431
Arkansas,9/1/2019 0:00,45467
California,9/1/2019 0:00,704291
Colorado,9/1/2019 0:00,75467
Connecticut,9/1/2019 0:00,66569
Delaware,9/1/2019 0:00,18909
D.C.,9/1/2019 0:00,21886
Florida,9/1/2019 0:00,304238
Georgia,9/1/2019 0:00,156100
Hawaii,9/1/2019 0:00,18842
Idaho,9/1/2019 0:00,20685
Illinois,9/1/2019 0:00,222928
Indiana,9/1/2019 0:00,95125
Iowa,9/1/2019 0:00,41466
Kansas,9/1/2019 0:00,40121
Kentucky,9/1/2019 0:00,79648
Louisiana,9/1/2019 0:00,104342
Maine,9/1/2019 0:00,16025
Maryland,9/1/2019 0:00,106899
Massachusetts,9/1/2019 0:00,101529
Michigan,9/1/2019 0:00,173033
Minnesota,9/1/2019 0:00,80560
Mississippi,9/1/2019 0:00,68196
Missouri,9/1/2019 0:00,82035
Montana,9/1/2019 0:00,15869
Nebraska,9/1/2019 0:00,28495
Nevada,9/1/2019 0:00,57740
New Hampshire,9/1/2019 0:00,17831
New Jersey,9/1/2019 0:00,152067
New Mexico,9/1/2019 0:00,44186
New York,9/1/2019 0:00,342694
North Carolina,9/1/2019 0:00,174618
North Dakota,9/1/2019 0:00,7434
Ohio,9/1/2019 0:00,225181
Oklahoma,9/1/2019 0:00,57872
Oregon,9/1/2019 0:00,64940
Pennsylvania,9/1/2019 0:00,271125
Rhode Island,9/1/2019 0:00,17493
South Carolina,9/1/2019 0:00,47844
South Dakota,9/1/2019 0:00,14012
Tennessee,9/1/2019 0:00,105792
Texas,9/1/2019 0:00,482829
Utah,9/1/2019 0:00,34864
Vermont,9/1/2019 0:00,7834
Virginia,9/1/2019 0:00,114346
Washington,9/1/2019 0:00,144349
West Virginia,9/1/2019 0:00,34801
Wisconsin,9/1/2019 0:00,88493
Wyoming,9/1/2019 0:00,9663
Alabama,10/1/2019 0:00,57113
Alaska,10/1/2019 0:00,19701
Arizona,10/1/2019 0:00,161137
Arkansas,10/1/2019 0:00,42231
California,10/1/2019 0:00,725895
Colorado,10/1/2019 0:00,75314
Connecticut,10/1/2019 0:00,66634
Delaware,10/1/2019 0:00,18749
D.C.,10/1/2019 0:00,21517
Florida,10/1/2019 0:00,295902
Georgia,10/1/2019 0:00,159171
Hawaii,10/1/2019 0:00,17540
Idaho,10/1/2019 0:00,20787
Illinois,10/1/2019 0:00,224741
Indiana,10/1/2019 0:00,102208
Iowa,10/1/2019 0:00,40745
Kansas,10/1/2019 0:00,42395
Kentucky,10/1/2019 0:00,79834
Louisiana,10/1/2019 0:00,105844
Maine,10/1/2019 0:00,16749
Maryland,10/1/2019 0:00,108418
Massachusetts,10/1/2019 0:00,90037
Michigan,10/1/2019 0:00,173524
Minnesota,10/1/2019 0:00,81756
Mississippi,10/1/2019 0:00,65083
Missouri,10/1/2019 0:00,86305
Montana,10/1/2019 0:00,16905
Nebraska,10/1/2019 0:00,29226
Nevada,10/1/2019 0:00,55450
New Hampshire,10/1/2019 0:00,16995
New Jersey,10/1/2019 0:00,154959
New Mexico,10/1/2019 0:00,44673
New York,10/1/2019 0:00,354358
North Carolina,10/1/2019 0:00,180081
North Dakota,10/1/2019 0:00,6535
Ohio,10/1/2019 0:00,220052
Oklahoma,10/1/2019 0:00,62648
Oregon,10/1/2019 0:00,63668
Pennsylvania,10/1/2019 0:00,289032
Rhode Island,10/1/2019 0:00,16402
South Carolina,10/1/2019 0:00,56883
South Dakota,10/1/2019 0:00,14240
Tennessee,10/1/2019 0:00,108485
Texas,10/1/2019 0:00,474329
Utah,10/1/2019 0:00,34061
Vermont,10/1/2019 0:00,5798
Virginia,10/1/2019 0:00,111836
Washington,10/1/2019 0:00,143866
West Virginia,10/1/2019 0:00,36871
Wisconsin,10/1/2019 0:00,86937
Wyoming,10/1/2019 0:00,9855
Alabama,11/1/2019 0:00,54861
Alaska,11/1/2019 0:00,20910
Arizona,11/1/2019 0:00,154572
Arkansas,11/1/2019 0:00,41816
California,11/1/2019 0:00,718032
Colorado,11/1/2019 0:00,74970
Connecticut,11/1/2019 0:00,62775
Delaware,11/1/2019 0:00,17290
D.C.,11/1/2019 0:00,20781
Florida,11/1/2019 0:00,283039
Georgia,11/1/2019 0:00,141518
Hawaii,11/1/2019 0:00,17344
Idaho,11/1/2019 0:00,24433
Illinois,11/1/2019 0:00,215173
Indiana,11/1/2019 0:00,104202
Iowa,11/1/2019 0:00,42650
Kansas,11/1/2019 0:00,43110
Kentucky,11/1/2019 0:00,78739
Louisiana,11/1/2019 0:00,104716
Maine,11/1/2019 0:00,19516
Maryland,11/1/2019 0:00,104359
Massachusetts,11/1/2019 0:00,87801
Michigan,11/1/2019 0:00,159361
Minnesota,11/1/2019 0:00,88135
Mississippi,11/1/2019 0:00,65909
Missouri,11/1/2019 0:00,96022
Montana,11/1/2019 0:00,18209
Nebraska,11/1/2019 0:00,27173
Nevada,11/1/2019 0:00,52974
New Hampshire,11/1/2019 0:00,17891
New Jersey,11/1/2019 0:00,157091
New Mexico,11/1/2019 0:00,44691
New York,11/1/2019 0:00,341376
North Carolina,11/1/2019 0:00,177831
North Dakota,11/1/2019 0:00,7968
Ohio,11/1/2019 0:00,214762
Oklahoma,11/1/2019 0:00,59724
Oregon,11/1/2019 0:00,61282
Pennsylvania,11/1/2019 0:00,284629
Rhode Island,11/1/2019 0:00,18234
South Carolina,11/1/2019 0:00,53912
South Dakota,11/1/2019 0:00,15316
Tennessee,11/1/2019 0:00,104839
Texas,11/1/2019 0:00,480312
Utah,11/1/2019 0:00,33756
Vermont,11/1/2019 0:00,7647
Virginia,11/1/2019 0:00,108653
Washington,11/1/2019 0:00,152256
West Virginia,11/1/2019 0:00,38187
Wisconsin,11/1/2019 0:00,93112
Wyoming,11/1/2019 0:00,10771
Alabama,12/1/2019 0:00,56967
Alaska,12/1/2019 0:00,20866
Arizona,12/1/2019 0:00,152154
Arkansas,12/1/2019 0:00,45725
California,12/1/2019 0:00,711206
Colorado,12/1/2019 0:00,74703
Connecticut,12/1/2019 0:00,61837
Delaware,12/1/2019 0:00,17300
D.C.,12/1/2019 0:00,20426
Florida,12/1/2019 0:00,264725
Georgia,12/1/2019 0:00,148846
Hawaii,12/1/2019 0:00,14982
Idaho,12/1/2019 0:00,25372
Illinois,12/1/2019 0:00,220397
Indiana,12/1/2019 0:00,99811
Iowa,12/1/2019 0:00,51293
Kansas,12/1/2019 0:00,42840
Kentucky,12/1/2019 0:00,81086
Louisiana,12/1/2019 0:00,102981
Maine,12/1/2019 0:00,19920
Maryland,12/1/2019 0:00,98116
Massachusetts,12/1/2019 0:00,90442
Michigan,12/1/2019 0:00,174864
Minnesota,12/1/2019 0:00,108186
Mississippi,12/1/2019 0:00,66922
Missouri,12/1/2019 0:00,105397
Montana,12/1/2019 0:00,19339
Nebraska,12/1/2019 0:00,27581
Nevada,12/1/2019 0:00,52275
New Hampshire,12/1/2019 0:00,17574
New Jersey,12/1/2019 0:00,164246
New Mexico,12/1/2019 0:00,43421
New York,12/1/2019 0:00,351928
North Carolina,12/1/2019 0:00,168255
North Dakota,12/1/2019 0:00,8852
Ohio,12/1/2019 0:00,218927
Oklahoma,12/1/2019 0:00,58211
Oregon,12/1/2019 0:00,61165
Pennsylvania,12/1/2019 0:00,295120
Rhode Island,12/1/2019 0:00,17797
South Carolina,12/1/2019 0:00,56479
South Dakota,12/1/2019 0:00,16303
Tennessee,12/1/2019 0:00,104576
Texas,12/1/2019 0:00,470136
Utah,12/1/2019 0:00,35240
Vermont,12/1/2019 0:00,7241
Virginia,12/1/2019 0:00,107305
Washington,12/1/2019 0:00,157598
West Virginia,12/1/2019 0:00,39566
Wisconsin,12/1/2019 0:00,99409
Wyoming,12/1/2019 0:00,10701
Alabama,1/1/2020 0:00,72293
Alaska,1/1/2020 0:00,22304
Arizona,1/1/2020 0:00,167687
Arkansas,1/1/2020 0:00,55513
California,1/1/2020 0:00,839986
Colorado,1/1/2020 0:00,90179
Connecticut,1/1/2020 0:00,85151
Delaware,1/1/2020 0:00,20642
D.C.,1/1/2020 0:00,21081
Florida,1/1/2020 0:00,310226
Georgia,1/1/2020 0:00,178054
Hawaii,1/1/2020 0:00,19444
Idaho,1/1/2020 0:00,31053
Illinois,1/1/2020 0:00,253312
Indiana,1/1/2020 0:00,121512
Iowa,1/1/2020 0:00,64221
Kansas,1/1/2020 0:00,50693
Kentucky,1/1/2020 0:00,98685
Louisiana,1/1/2020 0:00,119633
Maine,1/1/2020 0:00,28088
Maryland,1/1/2020 0:00,116126
Massachusetts,1/1/2020 0:00,128339
Michigan,1/1/2020 0:00,210771
Minnesota,1/1/2020 0:00,113334
Mississippi,1/1/2020 0:00,67485
Missouri,1/1/2020 0:00,132261
Montana,1/1/2020 0:00,23626
Nebraska,1/1/2020 0:00,33123
Nevada,1/1/2020 0:00,59880
New Hampshire,1/1/2020 0:00,23910
New Jersey,1/1/2020 0:00,200336
New Mexico,1/1/2020 0:00,47900
New York,1/1/2020 0:00,391140
North Carolina,1/1/2020 0:00,206728
North Dakota,1/1/2020 0:00,11300
Ohio,1/1/2020 0:00,291909
Oklahoma,1/1/2020 0:00,59744
Oregon,1/1/2020 0:00,79351
Pennsylvania,1/1/2020 0:00,333818
Rhode Island,1/1/2020 0:00,22556
South Carolina,1/1/2020 0:00,70380
South Dakota,1/1/2020 0:00,17564
Tennessee,1/1/2020 0:00,127459
Texas,1/1/2020 0:00,532434
Utah,1/1/2020 0:00,45458
Vermont,1/1/2020 0:00,10188
Virginia,1/1/2020 0:00,134298
Washington,1/1/2020 0:00,175160
West Virginia,1/1/2020 0:00,43592
Wisconsin,1/1/2020 0:00,131022
Wyoming,1/1/2020 0:00,12564
Alabama,2/1/2020 0:00,64556
Alaska,2/1/2020 0:00,19908
Arizona,2/1/2020 0:00,158568
Arkansas,2/1/2020 0:00,53699
California,2/1/2020 0:00,841220
Colorado,2/1/2020 0:00,93939
Connecticut,2/1/2020 0:00,84669
Delaware,2/1/2020 0:00,19736
D.C.,2/1/2020 0:00,21696
Florida,2/1/2020 0:00,297363
Georgia,2/1/2020 0:00,181160
Hawaii,2/1/2020 0:00,17633
Idaho,2/1/2020 0:00,27474
Illinois,2/1/2020 0:00,223656
Indiana,2/1/2020 0:00,113949
Iowa,2/1/2020 0:00,54537
Kansas,2/1/2020 0:00,49904
Kentucky,2/1/2020 0:00,89427
Louisiana,2/1/2020 0:00,89797
Maine,2/1/2020 0:00,29469
Maryland,2/1/2020 0:00,116616
Massachusetts,2/1/2020 0:00,125389
Michigan,2/1/2020 0:00,179832
Minnesota,2/1/2020 0:00,110976
Mississippi,2/1/2020 0:00,64562
Missouri,2/1/2020 0:00,115340
Montana,2/1/2020 0:00,22415
Nebraska,2/1/2020 0:00,31200
Nevada,2/1/2020 0:00,59337
New Hampshire,2/1/2020 0:00,23952
New Jersey,2/1/2020 0:00,191465
New Mexico,2/1/2020 0:00,48454
New York,2/1/2020 0:00,376605
North Carolina,2/1/2020 0:00,189127
North Dakota,2/1/2020 0:00,11138
Ohio,2/1/2020 0:00,276356
Oklahoma,2/1/2020 0:00,55011
Oregon,2/1/2020 0:00,78919
Pennsylvania,2/1/2020 0:00,333040
Rhode Island,2/1/2020 0:00,22130
South Carolina,2/1/2020 0:00,73086
South Dakota,2/1/2020 0:00,16724
Tennessee,2/1/2020 0:00,128239
Texas,2/1/2020 0:00,508251
Utah,2/1/2020 0:00,46510
Vermont,2/1/2020 0:00,8910
Virginia,2/1/2020 0:00,123089
Washington,2/1/2020 0:00,167827
West Virginia,2/1/2020 0:00,43954
Wisconsin,2/1/2020 0:00,124277
Wyoming,2/1/2020 0:00,12569
Alabama,3/1/2020 0:00,67046
Alaska,3/1/2020 0:00,19953
Arizona,3/1/2020 0:00,220450
Arkansas,3/1/2020 0:00,66943
California,3/1/2020 0:00,1106405
Colorado,3/1/2020 0:00,167668
