State,Month and Year,Workforce Size,Unemp Size
Rhode Island,5/1/2019 0:00,550312,18150
South Carolina,5/1/2019 0:00,2377726,64906
South Dakota,5/1/2019 0:00,462992,14197
Tennessee,5/1/2019 0:00,3336509,104130
Texas,5/1/2019 0:00,13926760,435592
Utah,5/1/2019 0:00,1599711,41197
Vermont,5/1/2019 0:00,341657,7493
Virginia,5/1/2019 0:00,4401947,118238
Washington,5/1/2019 0:00,3888371,158985
West Virginia,5/1/2019 0:00,794398,35373
Wisconsin,5/1/2019 0:00,3085969,94828
Wyoming,5/1/2019 0:00,290120,9616
Alabama,6/1/2019 0:00,2246030,73570
Alaska,6/1/2019 0:00,355191,22261
Arizona,6/1/2019 0:00,3542293,178750
Arkansas,6/1/2019 0:00,1376830,52458
California,6/1/2019 0:00,19325538,794837
Colorado,6/1/2019 0:00,3162311,92508
Connecticut,6/1/2019 0:00,1925633,74192
Delaware,6/1/2019 0:00,490751,19899
D.C.,6/1/2019 0:00,412636,24062
Florida,6/1/2019 0:00,10318834,344231
Georgia,6/1/2019 0:00,5101635,193000
Hawaii,6/1/2019 0:00,665587,22078
Idaho,6/1/2019 0:00,891130,23779
Illinois,6/1/2019 0:00,6517399,267575
Indiana,6/1/2019 0:00,3413468,114185
Iowa,6/1/2019 0:00,1750382,48303
Kansas,6/1/2019 0:00,1498185,48792
Kentucky,6/1/2019 0:00,2099909,101143
Louisiana,6/1/2019 0:00,2116798,117592
Maine,6/1/2019 0:00,701100,19348
Maryland,6/1/2019 0:00,3285538,126624
Massachusetts,6/1/2019 0:00,3851461,120601
Michigan,6/1/2019 0:00,4971319,212011
Minnesota,6/1/2019 0:00,3126861,101099
Mississippi,6/1/2019 0:00,1292689,83202
Missouri,6/1/2019 0:00,3108213,104362
Montana,6/1/2019 0:00,539659,18106
Nebraska,6/1/2019 0:00,1047089,34683
Nevada,6/1/2019 0:00,1543666,63748
New Hampshire,6/1/2019 0:00,781077,19442
New Jersey,6/1/2019 0:00,4508811,147120
New Mexico,6/1/2019 0:00,958214,52893
New York,6/1/2019 0:00,9538972,363430
North Carolina,6/1/2019 0:00,5097518,213152
North Dakota,6/1/2019 0:00,412677,10907
Ohio,6/1/2019 0:00,5844525,253781
Oklahoma,6/1/2019 0:00,1854443,65316
Oregon,6/1/2019 0:00,2113944,83768
Pennsylvania,6/1/2019 0:00,6514786,287947
Rhode Island,6/1/2019 0:00,557755,18645
South Carolina,6/1/2019 0:00,2400898,75412
South Dakota,6/1/2019 0:00,470901,15018
Tennessee,6/1/2019 0:00,3372213,131488
Texas,6/1/2019 0:00,14009283,520024
Utah,6/1/2019 0:00,1612516,48104
Vermont,6/1/2019 0:00,346954,8577
Virginia,6/1/2019 0:00,4434710,129920
Washington,6/1/2019 0:00,3919625,164802
West Virginia,6/1/2019 0:00,806744,39694
Wisconsin,6/1/2019 0:00,3150680,117562
Wyoming,6/1/2019 0:00,297410,10840
Alabama,7/1/2019 0:00,2245474,69916
Alaska,7/1/2019 0:00,359113,20150
Arizona,7/1/2019 0:00,3550152,180844
Arkansas,7/1/2019 0:00,1379283,56737
California,7/1/2019 0:00,19465613,857771
Colorado,7/1/2019 0:00,3171847,85711
Connecticut,7/1/2019 0:00,1945070,75777
Delaware,7/1/2019 0:00,492940,20243
D.C.,7/1/2019 0:00,416468,24138
Florida,7/1/2019 0:00,10372151,350600
Georgia,7/1/2019 0:00,5126399,196151
Hawaii,7/1/2019 0:00,667217,18429
Idaho,7/1/2019 0:00,895029,24218
Illinois,7/1/2019 0:00,6534712,276947
Indiana,7/1/2019 0:00,3412239,119491
Iowa,7/1/2019 0:00,1763368,48724
Kansas,7/1/2019 0:00,1508779,56697
Kentucky,7/1/2019 0:00,2090399,101089
Louisiana,7/1/2019 0:00,2116103,115749
Maine,7/1/2019 0:00,708797,18891
Maryland,7/1/2019 0:00,3316105,128327
Massachusetts,7/1/2019 0:00,3865262,121141
Michigan,7/1/2019 0:00,4995452,252608
Minnesota,7/1/2019 0:00,3142453,99631
Mississippi,7/1/2019 0:00,1294421,81327
Missouri,7/1/2019 0:00,3117422,117030
Montana,7/1/2019 0:00,543860,16834
Nebraska,7/1/2019 0:00,1051883,35001
Nevada,7/1/2019 0:00,1550643,63204
New Hampshire,7/1/2019 0:00,787198,19857
New Jersey,7/1/2019 0:00,4555166,176079
New Mexico,7/1/2019 0:00,960503,52663
New York,7/1/2019 0:00,9596950,400342
North Carolina,7/1/2019 0:00,5125881,219539
North Dakota,7/1/2019 0:00,411927,9189
Ohio,7/1/2019 0:00,5884316,266365
Oklahoma,7/1/2019 0:00,1850754,62846
Oregon,7/1/2019 0:00,2126411,85756
Pennsylvania,7/1/2019 0:00,6581549,321521
Rhode Island,7/1/2019 0:00,562181,21801
South Carolina,7/1/2019 0:00,2402172,72245
South Dakota,7/1/2019 0:00,471856,14359
Tennessee,7/1/2019 0:00,3377806,132139
Texas,7/1/2019 0:00,14064960,540487
Utah,7/1/2019 0:00,1616418,43635
Vermont,7/1/2019 0:00,346705,8209
Virginia,7/1/2019 0:00,4465718,131979
Washington,7/1/2019 0:00,3944959,164164
West Virginia,7/1/2019 0:00,805335,38061
Wisconsin,7/1/2019 0:00,3150096,113279
Wyoming,7/1/2019 0:00,298084,10633
Alabama,8/1/2019 0:00,2235642,66431
Alaska,8/1/2019 0:00,353859,18805
Arizona,8/1/2019 0:00,3556056,178406
Arkansas,8/1/2019 0:00,1364195,49499
California,8/1/2019 0:00,19428941,808406
Colorado,8/1/2019 0:00,3170260,83635
Connecticut,8/1/2019 0:00,1925819,73111
Delaware,8/1/2019 0:00,490824,20234
D.C.,8/1/2019 0:00,407817,22418
Florida,8/1/2019 0:00,10353589,341558
Georgia,8/1/2019 0:00,5097809,186680
Hawaii,8/1/2019 0:00,663706,17821
Idaho,8/1/2019 0:00,888664,22457
Illinois,8/1/2019 0:00,6459291,257769
Indiana,8/1/2019 0:00,3385489,113806
Iowa,8/1/2019 0:00,1748009,48287
Kansas,8/1/2019 0:00,1485168,50095
Kentucky,8/1/2019 0:00,2069554,86918
Louisiana,8/1/2019 0:00,2097206,112426
Maine,8/1/2019 0:00,708364,16281
Maryland,8/1/2019 0:00,3280077,122557
Massachusetts,8/1/2019 0:00,3855804,108391
Michigan,8/1/2019 0:00,4965356,209484
Minnesota,8/1/2019 0:00,3122724,94260
Mississippi,8/1/2019 0:00,1272644,71648
Missouri,8/1/2019 0:00,3077694,108761
Montana,8/1/2019 0:00,542082,16824
Nebraska,8/1/2019 0:00,1039417,31306
Nevada,8/1/2019 0:00,1548152,59708
New Hampshire,8/1/2019 0:00,783726,19639
New Jersey,8/1/2019 0:00,4530548,166692
New Mexico,8/1/2019 0:00,955627,47067
New York,8/1/2019 0:00,9539835,393551
North Carolina,8/1/2019 0:00,5074829,210207
North Dakota,8/1/2019 0:00,410255,9123
Ohio,8/1/2019 0:00,5848312,246429
Oklahoma,8/1/2019 0:00,1836797,60607
Oregon,8/1/2019 0:00,2123490,82140
Pennsylvania,8/1/2019 0:00,6542283,314579
Rhode Island,8/1/2019 0:00,560466,20937
South Carolina,8/1/2019 0:00,2385686,67954
South Dakota,8/1/2019 0:00,468482,15340
Tennessee,8/1/2019 0:00,3339297,113486
Texas,8/1/2019 0:00,14030092,523448
Utah,8/1/2019 0:00,1615398,42719
Vermont,8/1/2019 0:00,344368,7910
Virginia,8/1/2019 0:00,4422123,130261
Washington,8/1/2019 0:00,3930563,160846
West Virginia,8/1/2019 0:00,801184,38253
Wisconsin,8/1/2019 0:00,3120077,106141
Wyoming,8/1/2019 0:00,296141,9825
Alabama,9/1/2019 0:00,2237761,57536
Alaska,9/1/2019 0:00,348825,19306
Arizona,9/1/2019 0:00,3591467,165431
Arkansas,9/1/2019 0:00,1364706,45467
California,9/1/2019 0:00,19505846,704291
Colorado,9/1/2019 0:00,3178923,75467
Connecticut,9/1/2019 0:00,1913111,66569
Delaware,9/1/2019 0:00,484356,18909
D.C.,9/1/2019 0:00,407988,21886
Florida,9/1/2019 0:00,10438897,304238
Georgia,9/1/2019 0:00,5119873,156100
Hawaii,9/1/2019 0:00,662543,18842
Idaho,9/1/2019 0:00,886206,20685
Illinois,9/1/2019 0:00,6426636,222928
Indiana,9/1/2019 0:00,3374034,95125
Iowa,9/1/2019 0:00,1748279,41466
Kansas,9/1/2019 0:00,1484776,40121
Kentucky,9/1/2019 0:00,2073191,79648
Louisiana,9/1/2019 0:00,2096725,104342
Maine,9/1/2019 0:00,692599,16025
Maryland,9/1/2019 0:00,3264649,106899
Massachusetts,9/1/2019 0:00,3798668,101529
Michigan,9/1/2019 0:00,4930761,173033
Minnesota,9/1/2019 0:00,3110208,80560
Mississippi,9/1/2019 0:00,1276039,68196
Missouri,9/1/2019 0:00,3083575,82035
Montana,9/1/2019 0:00,534592,15869
Nebraska,9/1/2019 0:00,1029469,28495
Nevada,9/1/2019 0:00,1552411,57740
New Hampshire,9/1/2019 0:00,772689,17831
New Jersey,9/1/2019 0:00,4496207,152067
New Mexico,9/1/2019 0:00,955891,44186
New York,9/1/2019 0:00,9504828,342694
North Carolina,9/1/2019 0:00,5094495,174618
North Dakota,9/1/2019 0:00,403896,7434
Ohio,9/1/2019 0:00,5805781,225181
Oklahoma,9/1/2019 0:00,1844419,57872
Oregon,9/1/2019 0:00,2109356,64940
Pennsylvania,9/1/2019 0:00,6506111,271125
Rhode Island,9/1/2019 0:00,556320,17493
South Carolina,9/1/2019 0:00,2366932,47844
South Dakota,9/1/2019 0:00,463200,14012
Tennessee,9/1/2019 0:00,3351337,105792
Texas,9/1/2019 0:00,14111297,482829
Utah,9/1/2019 0:00,1615873,34864
Vermont,9/1/2019 0:00,338959,7834
Virginia,9/1/2019 0:00,4420479,114346
Washington,9/1/2019 0:00,3937562,144349
West Virginia,9/1/2019 0:00,803603,34801
Wisconsin,9/1/2019 0:00,3096038,88493
Wyoming,9/1/2019 0:00,293770,9663
Alabama,10/1/2019 0:00,2252789,57113
Alaska,10/1/2019 0:00,344605,19701
Arizona,10/1/2019 0:00,3601094,161137
Arkansas,10/1/2019 0:00,1367199,42231
California,10/1/2019 0:00,19538254,725895
Colorado,10/1/2019 0:00,3183835,75314
Connecticut,10/1/2019 0:00,1925483,66634
Delaware,10/1/2019 0:00,487774,18749
D.C.,10/1/2019 0:00,409726,21517
Florida,10/1/2019 0:00,10458221,295902
Georgia,10/1/2019 0:00,5140986,159171
Hawaii,10/1/2019 0:00,663747,17540
Idaho,10/1/2019 0:00,888851,20787
Illinois,10/1/2019 0:00,6443336,224741
Indiana,10/1/2019 0:00,3392188,102208
Iowa,10/1/2019 0:00,1759289,40745
Kansas,10/1/2019 0:00,1493923,42395
Kentucky,10/1/2019 0:00,2075032,79834
Louisiana,10/1/2019 0:00,2108448,105844
Maine,10/1/2019 0:00,695929,16749
Maryland,10/1/2019 0:00,3278073,108418
Massachusetts,10/1/2019 0:00,3819962,90037
Michigan,10/1/2019 0:00,4943286,173524
Minnesota,10/1/2019 0:00,3125946,81756
Mississippi,10/1/2019 0:00,1276407,65083
Missouri,10/1/2019 0:00,3103578,86305
Montana,10/1/2019 0:00,535076,16905
Nebraska,10/1/2019 0:00,1038851,29226
