Year,Region,State,County,Total percentAvg pay,AverageWage,Management percent,Management pay,Business and financial operations percent,Business and financial operations pay,Computer and mathematical percent,Computer and mathematical pay,Architecture and engineering percent,Architecture and engineering pay,"Life, physical, and social science percent","Life, physical, and social science pay",Community and social service percent,Community and social service pay,Legal percent,Legal pay,"Education, training, and library percent","Education, training, and library pay","Arts, design, entertainment, sports, and media percent","Arts, design, entertainment, sports, and media pay",Healthcare practitioners and technical percent,Healthcare practitioners and technical pay,Healthcare support percent,Healthcare support pay,Protective service percent,Protective service pay,Food preparation and serving related percent,Food preparation and serving related pay,Building and grounds cleaning and maintenance percent,Building and grounds cleaning and maintenance pay,Personal care and service percent,Personal care and service pay,Sales and related percent,Sales and related pay,Office and administrative support percent,Office and administrative support pay,"Farming, fishing, and forestry percent","Farming, fishing, and forestry pay",Construction and extraction percent,Construction and extraction pay,"Installation, maintenance, and repair percent","Installation, maintenance, and repair pay",Production percent,Production pay,Transportation and material moving percent,Transportation and material moving pay
May 2020,midwest,Nebraska,Omaha,100,25.5,5.9,52.98,6.1,34.58,4.3,40.65,1.2,37.22,0.8,34.77,1.3,23.56,0.6,43.55,6.2,27.7,1.1,24.64,7.1,39.65,3.6,15.45,1.6,25.2,8.2,12.52,2.8,15.48,2.4,14.99,10,21.62,13.8,19.55,0.1,18.57,5.2,24.38,3.9,24.22,5.2,18.71,8.6,18.28
May 2019,midwest,Wisconsin,Oshkosh,100,23.27,4.2,54.89,5.2,30.42,2,35.41,2.3,35.44,,33.37,1.4,22.44,0.3,38.66,4.8,22.94,0.9,22.45,5.6,37.35,3.8,13.9,1.9,20.84,7.4,11.25,2.1,13.87,1.8,14.81,7.6,22.1,13.8,18.98,0.1,15.97,4.5,26.03,3.9,23.61,17.2,20.23,8,17.89
May 2020,midwest,Wisconsin,Oshkosh,100,24.44,4.2,55.56,5.6,32.6,2,36.82,2.3,35.36,1,35.45,1.3,23.32,0.4,37.14,4.5,24.07,1.2,28.96,6.4,37.21,4.1,14.3,1.9,20.61,6.4,11.61,1.9,14.69,1.3,15.45,7.7,23.28,13.7,20.02,0.1,15.09,4.6,26.2,3.8,24.65,17.6,20.95,8,19.14
May 2019,midwest,Illinois,Peoria,100,25.38,6.7,54.64,5.1,37.67,2.6,42.55,3.6,45.93,0.4,34.3,1.5,21.83,0.5,51.86,6.7,22.44,1.1,22.93,8.4,39.31,4.2,15.32,1.4,20.54,9.1,11.31,3.3,13.08,2,13.42,8.9,17.58,12.1,17.79,0.1,16.66,3.7,29.25,4.4,24.61,6.7,20.64,7.4,17.45
May 2020,midwest,Illinois,Peoria,100,26.12,6.8,55.27,5.3,38.11,2.7,43.08,3.5,,0.5,36.39,2.1,21.93,0.5,51.19,6,22,1,26.15,8.6,38.87,4.7,15.55,1.3,22.43,8,11.7,3.2,13.76,1.8,14.16,8.6,18.32,12.3,18.71,0.2,,3.9,30,4.1,24.9,7.2,20.77,7.5,18.2
May 2019,midwest,Wisconsin,Racine,100,22.56,4.4,56.02,4.2,32.52,1.3,36.98,2.1,37.04,0.4,35.46,1.4,17.55,0.3,44.76,6.1,26.8,0.7,19.53,4.6,40.94,6.1,13.26,2.8,22.04,8.2,10.82,3,14.38,1.7,14.85,9.9,18.71,11,19.17,0.1,13.06,3.4,27.68,4.2,24,14.8,18.72,9.5,17.48
May 2020,midwest,Wisconsin,Racine,100,23.6,3.9,57.23,4.2,33.68,1.8,39.74,2.3,36.87,0.3,36.89,1.3,18.82,0.3,50.57,6.2,26.43,0.7,22.06,5,42.86,6.2,13.72,2.5,24.43,7.5,11.22,2.9,15.19,1.6,16.08,10.4,19.53,10.7,20.18,0.1,12.97,3.4,28.51,4.6,24.65,14.5,20.01,9.5,18.48
May 2019,midwest,South Dakota,Rapid City,100,20.32,3,46.74,4.4,31.94,1.5,31.57,1.4,33.52,1,29.54,1.6,20.14,0.5,37.47,5,20.82,1.4,18.61,8.2,36.06,3,14.88,2,21.08,10.8,11.41,4.8,12.38,3.6,12.83,12.7,17.21,13.8,15.77,0.1,17.14,6.4,19.63,3.9,22.97,3.8,16.65,7.1,16.74
May 2020,midwest,South Dakota,Rapid City,100,21.47,3.1,48.88,4.8,32.88,1.8,34.54,1.5,35.1,1.2,29.11,1.7,20.58,0.5,41,4.8,21.19,1.5,18.21,8.5,37.18,3.1,15.6,1.8,22.05,10.3,11.86,4.5,13.22,3.4,13.27,11.7,19.05,14.1,16.3,0.1,16.31,6.8,20.26,4.2,23.99,3.5,17.3,7.2,17.25
May 2019,midwest,Minnesota,Rochester,100,28.71,3.9,48.75,3,31.64,2,46.02,0.7,35.89,0.6,39.79,1.9,26.05,0.3,42.29,4.2,24.82,0.9,23.5,21.9,52.43,7.7,16.76,0.9,25.76,8.9,13.38,3.5,15.01,2.2,14.96,8.2,18.08,10.5,19.01,0.2,16.17,3.9,27.56,3.2,23.29,5.5,20,5.7,17.83
May 2020,midwest,Minnesota,Rochester,100,30.15,3.9,50.23,3.6,33.93,2,47.32,,35.91,0.6,39.35,2,25.45,0.3,42.11,4.6,24.48,0.9,22.84,23.8,52.57,7.8,17.33,1.1,23.61,7.6,14.42,3.1,15.36,1.9,16.18,7.9,18.86,10,19.61,0.2,18.15,3.8,28.76,3.1,23.71,5.3,20.75,5.6,18.47
May 2018,midwest,Illinois,Rockford,100,21.61,5.7,44.79,3.2,28.64,1.2,33.38,1.6,35.32,0.3,31.96,1.7,21.67,0.4,41.83,5.5,22.11,1,20.67,6.8,36.77,3.5,15.07,1.6,23.01,8.7,11.28,2.5,13.56,2.3,13.47,8.4,17.32,14,16.73,,,3,29.07,3.7,22.33,16.1,20.04,8.8,15.78
May 2019,midwest,Illinois,Rockford,100,22.62,5.9,46.12,3.3,29.56,1.3,34.74,1.7,36.89,0.4,32.35,1.9,21.42,0.4,41.13,5.3,22.4,0.9,21.21,6.8,41.19,3.5,14.89,1.5,24.17,8.8,11.8,2.6,13.65,1.9,13.02,8.3,17.75,11.5,18.41,,,3,31.48,3.6,23.39,16,20.28,11.2,16.03
May 2020,midwest,Illinois,Rockford,100,23.88,5.8,47.72,3.3,30.45,1.1,34.37,1.8,37.87,0.4,31.53,2.3,23.16,0.4,37.44,5.4,23.81,0.9,24.23,7.3,39.97,3.6,15.56,1.7,27.09,7.5,12.31,2.5,14.68,1.5,14.22,8.1,18.43,11.6,19.41,,,3.5,33.19,3.7,25.72,16.4,21.24,11.1,17.24
May 2019,midwest,Michigan,Saginaw,100,21.54,3.6,47.79,3.6,31.12,1.4,30.82,1.4,36.17,0.3,32.29,1.5,24.07,0.3,40.43,3.9,25.71,0.8,22.45,8.3,38.11,5.3,13.94,1.5,23.25,9.9,12.05,4,14.24,1.5,14.23,12.3,16.61,13.6,17.44,,15.91,3.9,24.03,4.6,24.22,10,19.75,8.2,16.12
May 2020,midwest,Michigan,Saginaw,100,23.86,,51.91,4.8,33.47,2.1,36.7,2.6,40.15,0.3,33.85,1.8,24.04,0.3,30.02,4.5,27.56,0.9,25.2,8.9,38.52,6.4,14.63,1.7,23.44,8.1,12.66,4.1,14.91,1.6,14.64,12.1,18.39,13.5,18.35,,16.65,3.5,24.31,4.5,25.27,6.1,20.05,7.3,18.19
May 2019,midwest,Wisconsin,Sheboygan,100,22.38,3.9,55.54,4.4,32.84,1.6,35.57,2.2,37.86,0.6,30.18,0.9,22.37,0.3,33.78,3.8,23.24,0.9,23.15,3.9,42.81,4.3,13.61,1.2,24.11,7.5,11.96,2.9,14.11,2.4,13.13,8.1,19.11,10.9,18.58,,,3.5,25.27,4.1,23.5,23.3,19.82,9.3,17.48
May 2020,midwest,Wisconsin,Sheboygan,100,23.36,4,56.36,4.8,34,1.5,36.55,1.9,38.02,0.7,31.32,1,23.13,0.2,35.57,4,23.72,0.7,22.94,4.6,43.39,4.3,14.42,1.1,24.83,6.4,12.17,2.6,14.84,1.8,13.21,8.1,20.51,10.9,19.16,,,3.6,25.62,4.4,24.71,23.3,20.3,10.1,18.01
May 2019,midwest,Iowa,Sioux City,100,21.26,4.5,49.09,3.1,30.53,1,34.96,0.8,36.11,0.6,30.18,1.2,21.52,0.4,46.09,6.2,22.68,0.9,17.39,5.6,35.95,3.3,14.77,1.6,22.22,8.8,11.18,2.9,14.26,1.8,12.35,9.7,17.79,11.6,18.11,0.6,17.02,4.2,22.31,4.9,23.82,13.1,18.79,13.4,17.87
May 2020,midwest,Iowa,Sioux City,100,21.92,4.9,49.18,3.3,31.28,1.1,35.7,0.8,36.74,0.5,30.37,1.3,21.36,0.4,43.14,6.3,23.82,1,18.07,5.9,35.39,3.7,15.32,1.5,23.14,8.2,11.7,3.2,15.44,1.7,13.26,9.5,18.31,11,18.48,0.5,18.73,4.2,22.23,5.2,24.18,11.5,19.15,14.5,18.11
May 2018,midwest,South Dakota,Sioux Falls,100,21.56,2.9,57,5.6,31.33,3.3,32.52,0.9,34.08,0.5,30.58,1.6,20.46,0.5,44.97,4.1,20.08,1.5,19.08,9.3,35.58,2.8,14.33,1.4,21.97,9.2,11.18,3.3,13.13,3.2,12.81,11.2,21.15,16.1,15.91,0.1,16.56,4.9,19.54,3.8,22.85,6.6,16.3,7.2,17.11
May 2019,midwest,South Dakota,Sioux Falls,100,22.07,3,56.97,6,32.23,3.3,32.85,1,34.18,0.7,31.58,1.6,20.71,0.5,46.25,4.1,20.61,1.4,20.46,9.1,34.45,3.3,14.55,1.3,22.84,9.1,11.54,3.4,13.59,2.8,13.54,10.8,22.29,14.5,16.57,0.1,14.97,5,20.38,3.9,23.18,6.8,16.92,8.3,16.82
May 2020,midwest,South Dakota,Sioux Falls,100,23.17,3.1,57.7,6.4,32.94,3.4,34.61,1,34.3,0.6,33.01,1.7,21.38,0.4,45.97,4.1,20.96,1.3,22.05,9.7,35.17,3.4,14.82,1.5,22.93,8,11.91,3.2,14.55,2.7,13.87,10.1,23.58,14.8,17.47,0.1,15.79,5.2,21.44,4.3,24.21,6.6,18.02,8.2,17.31
May 2019,midwest,Indiana,South Bend,100,22.35,5,49.96,3.8,31.39,1.5,33.24,1.3,33.92,0.6,33.03,1.7,20.93,0.3,,7.8,,1.6,28.17,5.7,37.58,4,14.28,2.3,21.87,10,11.65,2.8,14.52,1.9,13.79,10.1,19.87,13.2,18.49,0.1,17.26,3.7,25.91,4,22.2,9.8,17.62,9,16.29
May 2020,midwest,Indiana,South Bend,100,23.15,4.8,49.77,3.9,31.84,1.6,34.51,1.2,34.54,0.7,32.28,1.8,21.19,0.3,,7.5,,1.5,29.92,6.9,38.15,4.5,14.52,2.6,22.8,9.4,11.79,2.9,15.14,1.6,13.84,10,21.82,13,18.89,0.1,16.68,3.5,25.61,4.3,23.01,9.1,18.22,8.7,17.11
May 2019,midwest,Illinois,Springfield,100,21.75,3.9,46.6,5.2,33.51,3.7,,1.1,36.47,0.4,30.95,2.1,22.07,0.5,,7,26.75,0.9,28.51,6.3,32.72,4.9,14.49,1.6,20.59,9.8,11.17,3.2,13.09,1.3,13.61,10.3,16.66,12.3,17.67,0.1,13.79,1.9,23.12,3.7,21.74,10.8,16.86,8.9,16.72
May 2020,midwest,Illinois,Springfield,100,25.9,5.7,50.21,8.8,36.18,2.9,41.57,1.3,39.23,0.7,35.27,1.7,24.86,1,39.49,6.4,22.37,1.4,25.82,9.7,40.45,3.5,15.23,2,29.94,8.4,11.35,3.2,16.18,1.5,16.03,8.1,19.34,15.7,19.54,,15.86,3.3,29.28,3.8,24.96,3.1,19.03,7.4,16.8
May 2019,midwest,Minnesota,St. Cloud,100,23.2,4.4,47.44,3.8,30.92,1.5,33,1,31.81,0.6,31.52,1.5,26.09,0.4,40.44,5.6,27.04,1.1,21.54,7.3,40.69,5,16,0.9,26.7,8,13.08,2.8,16.11,2.2,14.67,10.4,19.08,13.3,19.34,0.1,18.07,4.9,28,4.7,22.65,11,19.14,9.5,17.63
May 2020,midwest,Minnesota,St. Cloud,100,24.42,4.7,49.05,4.3,32.99,1.6,35.09,1.4,34.3,0.6,34.52,1.4,26.67,0.4,41.57,5.8,26.94,0.9,21.65,8.2,42.5,5.2,15.69,1,26.03,6.9,13.81,2.9,16.88,1.7,15.1,10.1,19.24,13.3,19.86,0.1,16.35,5.1,28.18,4.5,23.94,10.1,19.74,9.7,18.53
May 2019,midwest,Indiana,Terre Haute,100,20.27,4.3,42.12,2.6,28.97,0.8,30.27,0.9,35.79,0.6,29.13,1.4,20.68,0.5,33.21,6.4,25.18,0.9,24.16,7.1,34.99,4.2,13.56,3.2,18.8,11.6,10.3,2.9,12.51,2.5,12.42,9.3,15.55,10.9,17.04,0.2,15.01,4.3,25.18,4.8,22.08,11.8,18.91,8.8,16.51
May 2020,midwest,Indiana,Terre Haute,100,20.88,4.3,43.4,2.8,28.2,0.9,28.72,0.8,35.15,0.7,32.72,1.9,21.26,0.5,34.5,6.6,25.39,0.7,25.01,7.6,34.08,4.4,13.69,3.2,20.59,11,10.51,2.8,13.16,2.1,13.27,9.2,15.97,11.6,17.7,0.2,16.5,4.7,25.48,4.9,22.82,10.3,20.12,8.8,16.37
May 2019,midwest,Ohio,Toledo,100,22.39,4,51.87,3.8,31.3,1.3,33.66,1.5,36.87,0.7,31.21,1.7,22.16,0.5,46.59,6.5,27.23,1,23.97,6.5,36.58,4.3,14.38,2.2,22.69,10,11.05,2.9,13.81,1.9,13.63,9,18.57,12,18.75,0.1,15.82,3.9,26.84,4,23.31,12.3,20.04,9.9,16.52
May 2020,midwest,Ohio,Toledo,100,23.61,4,53.23,4.2,32.17,1.4,33.41,1.7,37.1,0.6,33.98,1.7,22.85,0.6,49.65,6.2,28.06,1.1,28.09,8,38.08,4.7,14.49,2.1,23.67,9,11.35,3,14.18,1.7,13.73,8.7,19.46,12,19.32,0.1,18.52,3.9,27.7,4.4,24.35,10.5,21.01,10.4,17.56
May 2019,midwest,Iowa,Waterloo,100,21.71,5.2,44.88,4.1,29.57,1.7,34.74,1.8,,0.4,28.86,1.5,19.65,0.3,23.5,7.6,26.48,1.2,19.51,6.2,34.89,4,15.22,1.3,20.25,9,11.33,3.6,15.03,2.2,12.24,10.2,16.02,11.7,18.33,0.1,,3.9,22.33,4,22.77,10.4,19.47,9.6,17.42
May 2020,midwest,Iowa,Waterloo,100,22.86,5.6,46.67,4.4,30.53,1.9,36.02,2.3,39.64,0.4,27.91,1.2,22.74,0.4,28.93,7.3,25.66,1.3,20.26,6.5,35.64,4.3,15.35,1.3,22.19,8.5,11.97,3.7,15.66,2.1,13.43,9.7,17.32,12.1,19.05,0.1,19.95,3.7,23.24,3.7,23.46,9.1,20.56,10.4,18.51
May 2019,midwest,Wisconsin,Wausau,100,22.88,3.5,52.91,5.3,30.17,2.3,36.92,1.8,34.04,0.4,27.71,1.2,23.18,0.4,47.15,4.2,26.03,1.1,19.61,6.3,40.48,4.2,14.89,1.5,21.29,6.6,11.91,2.5,14.1,1.5,12.98,8.8,18.24,13.2,18.47,,17.62,3.5,25.15,4.4,22.68,17.8,19.97,9,18.38
May 2020,midwest,Wisconsin,Wausau,100,23.93,3.4,54.41,5.4,31.37,2.6,37.21,1.9,34.67,0.6,27.72,1.2,23.6,0.5,37.77,3.8,26.62,0.9,20.13,6.8,41.06,4.4,15.06,1.5,22.11,5.9,12.26,2.3,14.68,1.4,14.14,9.2,19.94,13,19.14,0.4,18.67,3.6,26.01,4.6,24.35,17.7,21.05,9,19.28
May 2018,midwest,Ohio,Youngstown,100,20.22,3.6,46.74,3.2,29.18,0.9,33.51,1.1,34.58,0.2,30.82,2.1,19.79,0.4,38.63,6.1,30.75,0.8,17.63,6.9,32.74,4.1,14.16,2.9,19.99,10.8,10.37,3.1,13.31,3.3,11.69,12.4,15.55,13.9,16.33,0.1,14.75,3.6,23.88,3.8,21.47,9.2,19.54,7.5,16.73
May 2019,midwest,Ohio,Youngstown,100,20.32,3.8,46.28,3.3,30.62,1.1,34.7,1,34.47,0.3,29.78,2,20.58,0.4,39.01,6.1,24.9,0.7,19.23,7.2,33.09,5.6,13.68,2.9,20.09,10.9,10.78,3.3,13.1,1.9,12.7,11.7,16.03,12.6,17.15,,16.02,3.7,24.63,3.8,22.2,9.1,19.32,8.5,16.36
May 2020,midwest,Ohio,Youngstown,100,20.94,3.8,47.06,3.3,30.58,1,34.47,0.9,36.23,0.4,29.33,2.3,20.86,0.4,39.74,6.3,25.31,0.6,19.71,7.5,34.04,5.8,13.78,2.7,20.6,10.1,11.22,3.1,13.28,1.9,13.13,10.9,17.25,12.7,17.53,0.1,15.84,3.6,25.47,4,23.07,9.5,19.43,9.1,16.65
May 2018,mountain-plains,Montana,Billings,100,22.53,3.5,49.2,4.5,31.78,1.9,30.27,2.1,40.11,1.1,30.75,2.1,19.24,0.8,36.87,4.6,21.63,0.9,18.58,7.4,40.77,2.7,15.03,1.6,22.01,10.7,12,3.8,15.68,3.7,12.44,12.8,19.28,14,17.49,0.2,14.82,5.8,23.93,4.8,22.78,3.9,21.56,7,19.53
May 2020,mountain-plains,Montana,Billings,100,24.16,4,50.55,4.8,33.53,1.4,35.63,2.2,41.6,1,33.85,2,20.07,0.7,41.1,4.5,22.71,1.1,17.89,7.7,44.82,3.9,14.96,1.6,24.92,10.1,13.3,3.4,14.85,2.5,13.75,12.2,20.44,13.6,18.6,0.3,16.15,5.6,24.65,4.8,23.66,4.6,24.17,8,19.52
May 2018,mountain-plains,Colorado,Boulder,100,31.1,5.5,69.98,8,39.74,7.8,48.67,4.5,48.41,3.3,42.56,1.2,24.93,0.7,59.78,6.5,30.66,2.1,27.93,5.4,42.51,2.1,18.01,1.3,26.67,9.8,14.3,2.5,16.2,3.3,17.39,9.8,25.77,12.4,20.23,0.2,15.72,2.3,24.18,2.7,23.94,5.1,19.47,3.5,18.89
May 2019,mountain-plains,Colorado,Boulder,100,32.29,5.1,72,9.2,41.97,8.1,49.73,4.5,49.75,3.1,46.49,1.4,25.71,0.8,,6.3,29.01,2.2,30.04,5.2,45.1,2.9,17.72,1.2,29.11,9.5,14.6,2.3,17.33,2.5,19.59,9.6,26.38,10.8,21.26,0.2,18.79,2.6,24.66,2.7,25.38,5.1,20.39,4.8,18.68
May 2020,mountain-plains,Colorado,Boulder,100,33.87,5.2,73.86,9.8,42.29,8.5,50.15,4.7,49.97,3.5,49.37,1.4,26.08,0.8,,6.5,30.29,2.2,31.93,5.1,47.26,3,18.03,1.3,29.34,8,15.56,2.3,18.25,2.4,19.44,9.6,28.18,10.8,22.1,0.1,20.04,2.6,24.93,2.5,26.62,5.2,21.32,4.6,20.1
May 2018,mountain-plains,Missouri,Cape Girardeau,100,19.05,3.9,44.36,2.8,27.7,1.1,27.07,0.6,31.92,0.4,27.1,2,18.61,0.3,39.77,4.6,21.45,1.1,18.72,9.4,32.59,4.4,12.61,1.2,19.36,11,10.88,3.9,12.21,4.6,11.21,12,15.95,15.7,15.3,0.1,17.22,3.3,20.67,4.1,19.67,8.2,19.07,5.5,16.39
May 2020,mountain-plains,Missouri,Cape Girardeau,100,20.67,4.3,45.62,3.6,29.74,1.2,29.84,0.6,32.27,0.4,28.61,2.4,19.59,0.4,49.95,5.7,21.67,1.4,21.55,9.7,33.31,7,13.17,1.3,21.77,10.5,11.64,3.6,12.68,2,14.25,10.8,16.71,13.3,17.06,0.3,13.52,3.1,23.1,3.8,20.35,7.6,21.88,7.2,15.74
May 2019,mountain-plains,Wyoming,Casper,100,24.03,4.5,51.22,3.2,36.04,0.9,31.8,1.8,44.61,1.3,31.88,1.3,24.49,0.6,34.97,5.5,24.95,1,18.51,6.4,37.6,3.9,15.96,2.1,23.65,9.1,11.97,3.4,13.71,2.1,14.25,10.5,20.41,12,19.14,0.1,14.23,8.1,24.83,6.8,24.89,6.7,25.3,8.8,20.16
May 2020,mountain-plains,Wyoming,Casper,100,24.49,4.6,50.38,3.4,35.53,0.9,31.88,1.8,45.3,1.3,32.55,1.5,24.32,0.5,36.9,5.8,24.55,1,18.39,6.7,39.72,4,16.28,2.1,24.16,8.8,12.75,3.3,13.53,2.4,15.44,10.4,21.06,11.9,19.04,,,7.7,24.82,7.1,26.15,6.2,25.93,8.5,20.29
May 2020,mountain-plains,Wyoming,Cheyenne,100,24.67,5.2,46.04,5.8,32.87,2.3,32.29,1.6,36.7,1.2,34.82,1.8,25.6,1.2,40.38,6.5,23.79,,24.78,6.4,48.32,3.8,16.63,2.1,24.46,9.1,11.85,3.5,14.72,1.4,14.34,7.7,18.08,13,18.85,,,7.1,24.23,4.7,26.4,3.5,22.92,10.9,20.42
May 2018,mountain-plains,Colorado,Colorado Springs,100,24.73,4.1,55.99,6.9,35.95,5.3,46,2.1,43.13,0.6,33.49,2,23.53,0.6,37.66,6.5,22.95,1.6,25.5,6.2,38.76,3.4,16.14,2.2,22.38,10.2,12.69,3,13.78,3.3,14.33,11.2,20.78,15.2,17.8,0.2,14.62,4.5,21.99,3.4,23.1,2.8,18.86,4.7,16.67
May 2019,mountain-plains,Colorado,Colorado Springs,100,25.17,3.9,56.88,7,36.22,5.4,46.07,2.2,45.19,0.6,34.82,1.9,24.17,0.6,42.99,6.4,24.06,1.5,25.95,6,38.28,4.3,16.05,2.4,22.71,10.3,13.19,3.1,14.68,2.5,15.46,10.9,20.88,13.7,18.64,0.1,14.63,4.6,22.62,3.7,23.61,2.9,19.03,5.8,16.81
May 2020,mountain-plains,Colorado,Colorado Springs,100,26.7,3.9,60.15,7.5,37.1,6,47.11,2.3,45.4,0.6,35.75,2,24.73,0.6,46.52,6.4,24.41,1.5,27.36,6.2,40.85,4.9,16.77,2.4,23.9,8.9,14.19,3.1,15.29,2,16.42,10.6,22.61,13.4,19.49,0.1,16.09,4.6,23.47,3.6,25.03,3,19.73,6.4,17.22
May 2019,mountain-plains,Missouri,Columbia,100,22.47,4.8,44.99,5.8,28.33,2.5,,1,33.88,1.3,32.2,1.6,21.08,0.5,33.96,8.4,28.81,1.7,21.61,9.3,39.05,5,13.16,1.7,18.11,11,11.79,3.2,13.7,2.2,13.58,9.3,17.34,13.6,17.28,0.1,16.2,3,22.52,3.5,19.92,3.8,19.06,6.7,14.97
May 2020,mountain-plains,Missouri,Columbia,100,23.36,5,47.4,6.2,30.82,2.4,35.53,1,33.37,1.6,32.96,1.7,22.2,0.5,34.93,8.9,,1.5,23.3,10.1,35.49,5.2,14.19,1.8,19.22,9.5,12.4,3,14.3,2.3,14.06,9,17.78,13,17.78,0.1,16.01,3.3,23.73,3.3,20.47,3.6,19.9,7,15.61
May 2018,mountain-plains,Colorado,Denver,100,28.57,4.8,67.98,8.6,39.06,5.2,47.34,2.5,44.11,1,37.5,1.3,24.56,1.1,58.45,4.8,28.14,1.6,28.27,5.4,41.35,2.3,17.76,2.2,24.5,9.2,13.12,2.9,14.95,3.7,15.01,11.4,24.93,13.8,20.66,0.2,15.53,4.9,24.98,3.6,25.79,3.5,19.77,6.2,21.77
May 2019,mountain-plains,Colorado,Denver,100,29.58,4.8,69.35,9.1,40.4,5.4,47.96,2.5,45.15,1.1,39.06,1.4,25.61,1.1,59.99,4.7,29.19,1.7,28.67,5.2,41.29,3.4,16.82,2.2,25.33,9.1,13.85,2.8,15.39,2.7,16.47,10.8,26.75,12,21.73,0.2,15.51,4.8,25.76,3.6,26.16,3.5,20.26,7.9,21.47
May 2020,mountain-plains,Colorado,Denver,100,31.19,4.9,71.93,9.6,41.51,5.7,49.26,2.7,45.82,1.1,39.21,1.4,26.3,1.2,58.91,4.8,30.38,1.6,29.77,5.4,42.9,3.4,17.44,2,27.51,7.8,15.35,2.8,16.39,2.5,17.48,10.4,28.71,12.1,22.32,0.2,16.71,4.9,26.63,3.7,26.94,3.4,21.05,8.4,22.24
May 2018,mountain-plains,Colorado,Fort Collins,100,24.54,3.8,54.8,5.6,33.84,2.8,41.34,3.2,41.42,2.4,33.52,1.5,24.96,0.5,47.53,6.2,27.67,1.5,24.41,6.1,39.78,2.8,16.85,1.7,22.54,11.2,13.06,3.5,14.84,3.3,15.69,11,19.58,13.4,18.74,0.2,16.8,5.4,23.39,3.8,23.95,4.9,20.94,5.2,16.48
May 2019,mountain-plains,Colorado,Fort Collins,100,25.59,3.8,56.44,5.8,35.44,3,43.63,3.4,43.37,2.3,33.85,1.5,26.55,0.5,48.01,6.2,28.14,1.4,24.41,6.2,40.5,3.8,16.36,1.5,24.07,10.8,14.19,3.4,15.15,2.6,16.13,10.7,21.08,11.7,19.71,0.2,17.37,5.6,24.38,3.5,24.65,5.2,21.42,6.8,16.64
May 2020,mountain-plains,Colorado,Fort Collins,100,27.01,3.8,60.1,6.2,36.4,3.4,42.7,3.1,45.1,2.5,33.72,1.6,25.86,0.5,49.17,6.3,29.47,1.4,25.28,6.9,42.67,4,16.95,1.4,28.27,9.2,15.02,3.4,16.26,2.4,16.35,10.5,22.68,12.2,20.25,0.2,17.02,5.7,25.54,3.7,25.74,4.7,21.8,7,17.77
May 2020,mountain-plains,Colorado,Grand Junction,100,23.61,3,53.06,4,32.49,1.1,34.62,1.3,32.4,1,33.83,2.2,22.66,0.6,40.06,5.8,22.16,0.8,21.11,8.6,42.82,5.5,16.04,2.1,24.78,9.8,13.59,3.4,16.15,2.4,14.98,11,20.44,13.6,19.01,0.1,15.7,7.6,23.7,5.5,24.69,3.9,20.03,6.7,19.27
May 2018,mountain-plains,Montana,Great Falls,100,19.82,2.7,41.82,5.1,28.98,2,21.37,1,31.48,0.8,25.09,1.8,18.91,0.8,,6.4,17.07,1.3,18.99,7.4,38.71,3.1,13.79,2.1,22.17,10.4,10.65,4.1,12.96,3.8,12.42,12.2,16.47,15.5,16.26,,14.28,5.1,21.24,4.9,21.83,3.2,19.19,6.4,16.56
May 2020,mountain-plains,Montana,Great Falls,100,21.72,3.6,46.4,5.4,30.14,2.2,25.18,1.1,33.13,1,29.52,1.9,20.39,0.8,,5.5,19.58,1.5,18.09,8.1,39.54,4.3,14.51,1.9,23.38,10.1,11.29,3.9,14.67,2.8,12.75,10.3,18.57,14.2,16.75,,13.87,4.5,23.46,4.8,24.62,3.5,19.12,8.4,17.69
May 2018,mountain-plains,Colorado,Greeley,100,23.05,3.6,54.89,4.6,32.88,1.4,36.07,1.5,39.12,0.6,30.64,1.5,22.85,0.4,38.98,6.5,24.71,0.7,23.25,3.8,36.36,2.1,16.22,1.9,25.89,8.3,11.89,3.2,14.88,1.9,15.12,8.6,21.47,13.2,18.34,0.5,15.93,12.4,22.74,5.2,24.59,9.7,19.26,8.5,20.8
May 2019,mountain-plains,Colorado,Greeley,100,23.91,3.6,56.02,4.8,33.56,1.3,37.16,1.3,39.84,0.9,33.55,1.4,24.46,0.3,42.89,6.5,26.03,0.8,23.13,3.6,37.83,2.6,15.86,2.2,24.3,8.5,12.7,2.8,15.85,1.4,16.32,9,21.66,11.2,19.29,0.4,16.69,12.3,23.6,5.4,25.62,8.8,20.6,10.8,20.95
May 2020,mountain-plains,Colorado,Greeley,100,25.17,3.8,59.63,5.2,35.68,1.3,40.35,1.9,42.23,1,33.68,1.3,24.73,0.3,44,6.3,25.66,0.9,27,3.6,37.47,2.6,16.67,2.2,25.34,7.7,13.97,2.9,16.99,1.5,16.6,9.1,22.43,11,20.13,0.5,17.55,11.4,24.4,5,26.92,9.3,21.33,11.2,21.98
May 2020,mountain-plains,Missouri,Jefferson City,100,22.52,5.1,43.8,6.8,33.87,3.9,31.11,1.7,37.52,1.3,33.16,2.2,20.25,1.1,37.85,5,23.38,1.3,26.1,5.4,31.75,4.6,14.71,3.5,18.61,6.7,12.22,3.1,12.94,2.1,12.82,8,17.4,17.1,17.93,0.3,14.77,4.4,25.33,3.8,22.91,5.4,19.88,7.1,16.77
