Year,Region,State,County,Total percentAvg pay,AverageWage,Management percent,Management pay,Business and financial operations percent,Business and financial operations pay,Computer and mathematical percent,Computer and mathematical pay,Architecture and engineering percent,Architecture and engineering pay,"Life, physical, and social science percent","Life, physical, and social science pay",Community and social service percent,Community and social service pay,Legal percent,Legal pay,"Education, training, and library percent","Education, training, and library pay","Arts, design, entertainment, sports, and media percent","Arts, design, entertainment, sports, and media pay",Healthcare practitioners and technical percent,Healthcare practitioners and technical pay,Healthcare support percent,Healthcare support pay,Protective service percent,Protective service pay,Food preparation and serving related percent,Food preparation and serving related pay,Building and grounds cleaning and maintenance percent,Building and grounds cleaning and maintenance pay,Personal care and service percent,Personal care and service pay,Sales and related percent,Sales and related pay,Office and administrative support percent,Office and administrative support pay,"Farming, fishing, and forestry percent","Farming, fishing, and forestry pay",Construction and extraction percent,Construction and extraction pay,"Installation, maintenance, and repair percent","Installation, maintenance, and repair pay",Production percent,Production pay,Transportation and material moving percent,Transportation and material moving pay
May 2018,southeast,Kentucky,Louisville/Jefferson County,100,21.99,4.8,49.67,4.7,31.07,2.6,36,1.6,35.85,0.3,33.92,1.2,21.44,0.6,40.88,4,25.19,1.1,22.8,6.2,33.76,2.6,15.39,1.9,17.68,9,10.89,2.5,13.49,3.3,13.52,9.3,18.85,16,17.16,0.1,15.75,3.6,23.4,4.4,22.9,9.7,18.68,10.6,19.29
May 2019,southeast,Kentucky,Louisville/Jefferson County,100,22.6,4.8,48.98,5.1,32.69,2.8,36.72,1.7,36.16,0.4,33.64,1.3,21.23,0.6,43.93,4,24.09,1.1,23.21,6.1,33.91,3.5,15.25,1.9,18.2,9.1,11.36,2.5,14.02,2.5,14.06,9,19.48,14.1,18,0.1,16.67,3.6,24.19,4.2,23.24,9.1,19.44,12.5,19.58
May 2019,southeast,Georgia,Macon,100,20.46,,44.71,,28.75,1.8,37.92,0.8,37.18,0.5,25.44,1.6,19.12,0.7,39.18,6,21.11,0.7,23.93,7.6,33.16,5.9,13.79,3.2,18.09,9.2,10.19,3.4,12.36,1.3,13.15,10.3,16.44,15.4,17.86,0.3,16.6,3.5,18.33,5,21.58,4.6,18.28,8.4,14.72
May 2020,southeast,Georgia,Macon,100,21.25,,45.94,5,29.13,1.8,35.96,0.9,36.85,0.7,24.68,1.4,21.39,0.7,31.54,6.6,21.67,0.7,22.85,7.2,35.7,5.8,14.74,3,18.59,8.9,10.36,3.6,12.73,1.3,13.37,9.1,17.35,15.9,18.1,0.4,16.97,3,19.18,5,22.76,4.8,19.01,8.9,15.98
May 2018,southeast,Tennessee,Memphis,100,21.45,5.6,48.47,3.9,31.89,1.6,34.3,1.1,35.28,0.5,32.36,1.1,21.47,0.5,41.2,5.4,25.9,0.8,22.65,6.4,35.48,2.3,14.61,3.4,18.99,8.3,10.38,2.8,12.62,2.9,11.87,9.7,18.36,15.9,17.77,0.1,15.5,3.1,19.64,3.9,22.23,6.1,16.81,14.6,16.75
May 2019,southeast,Tennessee,Memphis,100,21.81,5.7,50.01,3.7,31.11,1.6,34.67,1,34.56,0.7,31.29,1,22.41,0.5,38.97,5.3,25.52,0.8,22.33,6.6,34.73,3.4,13.66,3.3,19,8.2,10.72,2.9,12.91,2.1,12.87,9.2,19.38,13.8,18.5,0.2,15.28,2.9,20.54,3.7,22.78,6.4,17.85,16.9,17.15
May 2020,southeast,Tennessee,Memphis,100,22.58,5.8,51.25,4,31.77,1.7,35.66,1,36.04,0.7,38.66,1.2,24.14,0.6,36.05,5.1,25,0.7,23.67,6.8,34.61,3.3,14.11,3.4,19.74,7.7,11.17,3,13.57,1.9,13.06,8.9,19.94,13.7,18.99,0.1,15.37,2.9,21.25,3.8,23.58,6.6,18.61,17.1,17.99
May 2018,southeast,Florida,Miami,100,23.19,4.9,56.33,5.5,34.43,2.1,37.67,1,36.46,0.4,33.56,1.3,22.02,1.4,50.58,4.7,23.53,1.3,26.41,6.1,36.73,2.9,15.2,3.2,22.55,9.9,12.47,3.7,12.92,2.7,13.72,13,19.63,17.6,18.01,0.2,12.13,3.8,20.7,4.1,21.42,3.1,16.56,7,19.44
May 2019,southeast,Florida,Miami,100,24.07,5.8,55.12,5.9,34.49,2.2,39.66,1,36.92,0.5,33.82,1.3,22.65,1.3,52.87,4.8,25.77,1.3,26.61,6.1,37.61,3.1,15.31,3.3,22.78,9.8,12.66,3.5,13.51,2.3,14.23,12.3,20.03,15.3,18.92,0.2,12.67,4,21.1,4,21.99,3,17.18,8.8,18.51
May 2020,southeast,Florida,Miami,100,25.47,6,57.27,6.5,35.56,2.3,40.84,1,37.71,0.5,34.61,1.4,23.66,1.5,55.77,4.7,27.54,1.3,27.49,6.5,39.87,3.2,15.57,3.4,23.7,8.7,13.01,3.4,13.92,2.1,14.49,11.7,21.49,15.5,19.47,0.2,13.96,4.1,21.75,4.2,22.94,3,18.01,8.8,19.19
